"시설번호","지역코드","시설일련번호","시도명","시군구명","수용시설명","법정동코드","행정동코드","상세주소","시설면적","경도","위도","X좌표","Y좌표"
"1086","1168000000","130","서울특별시","강남구","일원개나리공원","1168011400","1168067000","서울특별시 강남구 일원동 730-3","539","127.076425","37.482915","206759.462334","542610.626366"
"1087","1168000000","128","서울특별시","강남구","한솔근린공원","1168011400","1168067000","서울특별시 강남구 일원동 732","6848","127.079014","37.481336","206988.606422","542435.615188"
"1088","1147000000","80","서울특별시","양천구","강서초등학교 운동장","1147010300","1147059000","서울특별시 양천구 신월동 441","3927","126.840444","37.522187","185895.397627","546978.579514"
"1089","1147000000","81","서울특별시","양천구","꿀벌어린이공원","1147010300","1147056000","서울특별시 양천구 신월동 531","1005","126.842064","37.519976","186038.152479","546732.952240"
"1090","1162000000","110","서울특별시","관악구","합실어린이공원","1162010200","1162064000","서울특별시 관악구 신림동 1704-4","1220","126.927028","37.465097","193544.442251","540632.906756"
"1091","1144000000","57","서울특별시","마포구","염리초등학교 운동장","1144010900","1144059000","서울특별시 마포구 토정로37길 37(염리동)","2997","126.945770","37.542325","195207.428457","549203.096232"
"1092","1117000000","24","서울특별시","용산구","용암초등학교 운동장","1117010200","1117052000","서울특별시 용산구 녹사평대로60길 39(용산동2가)","3141","126.989280","37.544895","199052.651971","549486.983648"
"1093","1120000000","38","서울특별시","성동구","금호고등학교 운동장","1120010900","1120059000","서울특별시 성동구 금호로 118(금호동1가)","1500","127.023697","37.553234","202093.902334","550412.684613"
"1094","1144000000","89","서울특별시","마포구","도화소어린이공원","1144010400","1144059000","서울특별시 마포구 토정로37길 22(도화동)","2098","126.945481","37.541049","195181.777474","549061.483512"
"1095","1147000000","84","서울특별시","양천구","태양어린이공원","1147010300","1147059000","서울특별시 양천구 오목로3길 34(신월동)","998","126.838644","37.524363","185736.689465","547220.330573"
"1096","1147000000","85","서울특별시","양천구","강신초등학교 운동장","1147010300","1147060000","서울특별시 양천구 신월동 6-7","2570","126.829296","37.542537","184914.001231","549238.866699"
"1097","1147000000","86","서울특별시","양천구","방아다리어린이공원","1147010300","1147056000","서울특별시 양천구 신월동 56-1","869","126.828382","37.538669","184832.426775","548809.762610"
"1098","1147000000","87","서울특별시","양천구","신오어린이공원","1147010300","1147060000","서울특별시 양천구 남부순환로33길 38(신월동)","872","126.831570","37.538197","185114.077221","548756.800151"
"1099","1147000000","88","서울특별시","양천구","신월중학교 운동장","1147010300","1147060000","서울특별시 양천구 신월동 17-6","6489","126.828957","37.540469","184883.637125","549009.426054"
"1100","1147000000","90","서울특별시","양천구","강신어린이공원","1147010300","1147056000","서울특별시 양천구 신월동 1012-2","1511","126.838479","37.515559","185720.377583","546243.247190"
"1101","1147000000","91","서울특별시","양천구","강신중학교 운동장","1147010300","1147061000","서울특별시 양천구 신월동 1010","4542","126.839197","37.514394","185783.610814","546113.794635"
"1102","1147000000","92","서울특별시","양천구","강월어린이공원","1147010300","1147061000","서울특별시 양천구 남부순환로82길 29(신월동)","2463","126.836353","37.515622","185532.414186","546250.524598"
"1103","1147000000","93","서울특별시","양천구","신남초등학교 운동장","1147010300","1147061000","서울특별시 양천구 남부순환로83길 44(신월동)","3778","126.844781","37.515989","186277.617460","546290.067793"
"1104","1147000000","94","서울특별시","양천구","강월초등학교 운동장","1147010300","1147061100","서울특별시 양천구 신월동 987-3","4528","126.834128","37.516044","185335.837565","546297.732790"
"1105","1147000000","95","서울특별시","양천구","신월공원","1147010300","1147061100","서울특별시 양천구 신월로 99-1 (신월동)","725","126.833789","37.517993","185306.278572","546514.119375"
"1106","1147000000","96","서울특별시","양천구","양천중학교 운동장","1147010300","1147061100","서울특별시 양천구 신월동 948","3463","126.830834","37.520141","185045.411009","546752.929710"
"1107","1147000000","97","서울특별시","양천구","오솔길공원","1147010300","1147061100","서울특별시 양천구 남부순환로72길 16(신월동)","349","126.836763","37.521244","185569.740230","546874.493452"
"1108","1147000000","98","서울특별시","양천구","한울근린공원","1147010300","1147061100","서울특별시 양천구 지양로7길 27-5 (신월동)","313","126.832195","37.519854","185165.695201","546720.892367"
"1109","1147000000","99","서울특별시","양천구","꿈나무어린이공원","1147010100","1147062000","서울특별시 양천구 신정동 311-1","380","126.858523","37.517676","187492.757480","546475.302619"
"1110","1174000000","36","서울특별시","강동구","성일초등학교운동장","1174010800","1174064000","서울특별시 강동구 성내로15길 33(성내동)","8065","127.128378","37.529117","211347.439031","547743.513987"
"1111","1156000000","50","서울특별시","영등포구","여의도고등학교 운동장","1156011000","1156054000","서울특별시 영등포구 국제금융로7길 37(여의도동)","8796","126.933546","37.525009","194125.741458","547281.928259"
"1112","1117000000","30","서울특별시","용산구","두텁바위공원","1117010700","1117053000","서울특별시 용산구 동자동 50","2623","126.973149","37.552133","197627.329678","550290.578416"
"1113","1147000000","100","서울특별시","양천구","단지어린이공원","1147010100","1147062000","서울특별시 양천구 중앙로36길 15(신정동, 목동힐스테이트)","3000","126.854307","37.519825","187120.447130","546714.413251"
