연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2024,서울특별시,동작구,산업용,4561573,4406694,4452999,4673273,4607590,0,0,0,0,0,0,0
2024,서울특별시,동작구,농사용,29709,17719,13975,28107,21647,0,0,0,0,0,0,0
2024,서울특별시,동작구,가로등,716208,670403,610710,574303,520467,0,0,0,0,0,0,0
2024,서울특별시,동작구,심 야,684077,638354,513677,303266,232954,0,0,0,0,0,0,0
2024,서울특별시,동작구,합 계,118018448,111357966,99203507,94928694,90361810,0,0,0,0,0,0,0
2024,서울특별시,관악구,주택용,59116076,57923887,51461062,51497766,47992948,0,0,0,0,0,0,0
2024,서울특별시,관악구,일반용,71653970,68935933,59987164,56971596,54753293,0,0,0,0,0,0,0
2024,서울특별시,관악구,교육용,23500540,23151067,19282282,17523132,14557722,0,0,0,0,0,0,0
2024,서울특별시,관악구,산업용,3249883,3224620,2867805,2839258,2665013,0,0,0,0,0,0,0
2024,서울특별시,관악구,농사용,7556,9334,7945,6402,4511,0,0,0,0,0,0,0
2024,서울특별시,관악구,가로등,1037992,993027,923748,895354,825027,0,0,0,0,0,0,0
2024,서울특별시,관악구,심 야,651050,647403,539091,409274,285471,0,0,0,0,0,0,0
2024,서울특별시,관악구,합 계,159217067,154885271,135069097,130142782,121083985,0,0,0,0,0,0,0
2024,서울특별시,강남구,주택용,89443330,84712267,78691435,76291561,73708921,0,0,0,0,0,0,0
2024,서울특별시,강남구,일반용,333909769,309521094,269822974,242521980,233319347,0,0,0,0,0,0,0
2024,서울특별시,강남구,교육용,6439888,5345543,5033210,4123498,2910412,0,0,0,0,0,0,0
2024,서울특별시,강남구,산업용,31709028,29147969,25913260,21741179,19513371,0,0,0,0,0,0,0
2024,서울특별시,강남구,농사용,130063,134700,114612,98714,84425,0,0,0,0,0,0,0
2024,서울특별시,강남구,가로등,1789662,1702502,1588819,1453372,1319827,0,0,0,0,0,0,0
2024,서울특별시,강남구,심 야,1476767,1255338,1161351,1909367,3282339,0,0,0,0,0,0,0
2024,서울특별시,강남구,합 계,464898507,431819413,382325661,348139671,334138642,0,0,0,0,0,0,0
2024,서울특별시,강동구,주택용,61614435,60192347,53440014,53595917,50131564,0,0,0,0,0,0,0
2024,서울특별시,강동구,일반용,74358646,69432702,60005486,55473709,53367080,0,0,0,0,0,0,0
2024,서울특별시,강동구,교육용,4581466,3785599,3278895,2636454,1803327,0,0,0,0,0,0,0
2024,서울특별시,강동구,산업용,13546911,12471231,12835485,12608972,12929335,0,0,0,0,0,0,0
2024,서울특별시,강동구,농사용,198071,197929,149915,113411,88403,0,0,0,0,0,0,0
2024,서울특별시,강동구,가로등,928587,865890,778865,723815,647588,0,0,0,0,0,0,0
